EC,Weighted Score,Observed Freq,Reactions
2.3.1,795.3,53,R00049  R00063  R01461  R01806  R01945  ... (48 reactions)
6.2.1,70.7,,
3.1.1,70.6,12,R01462  R02115  R02997  R03563  R04119  ... (11 reactions)
3.1.2,54.4,,
1.2.1,33.0,1,R04109
6.1.1,29.0,28,R02918  R03038  R03646  R03647  R03648  ... (26 reactions)
2.3.2,21.4,16,R03039  R03771  R03813  R03862  R04613  ... (15 reactions)
2.3.3,20.8,,
1.2.7,9.1,,
3.5.1,8.1,,
3.7.1,6.2,,
3.2.1,3.9,3,R04979  R09723
2.1.3,3.0,1,R09858
1.2.4,2.7,,
1.8.1,2.7,,
1.1.1,2.7,,
1.-.-,2.0,2,R04979
4.1.3,1.9,,
2.3.-,1.8,,
2.5.1,1.8,,
2.8.3,1.8,,
4.4.1,1.8,,
2.1.1,1.8,,
6.1.2,0.9,,
1.2.3,0.9,,
2.6.1,0.9,,
3.5.3,0.9,,
6.3.2,0.5,,
6.3.1,0.3,,
6.3.4,0.2,,
