EC,Weighted Score,Observed Freq,Reactions
2.3.1,924.4,2,R06643 R09258
3.5.1,101.3,,
3.1.1,99.1,,
6.2.1,85.4,,
3.1.2,59.7,,
2.3.2,55.3,,
6.3.2,43.8,,
1.2.1,37.7,,
6.1.1,28.2,,
3.7.1,27.8,,
2.3.3,22.9,,
6.3.4,15.8,,
6.3.1,12.9,,
3.4.13,10.9,,
1.2.7,10.0,,
2.1.3,9.9,,
3.4.11,6.0,,
3.2.1,3.9,,
3.6.1,3.9,,
1.2.4,3.0,,
1.8.1,3.0,,
1.1.1,3.0,,
4.1.3,3.0,,
6.3.5,3.0,,
3.4.17,3.0,,
3.4.19,3.0,,
2.3.-,3.0,,
2.5.1,3.0,,
2.8.3,2.5,,
2.1.1,2.0,,
4.4.1,2.0,,
3.5.3,2.0,,
2.7.7,2.0,,
1.-.-,1.9,,
1.2.3,1.0,,
2.6.1,1.0,,
1.14.14,1.0,,
1.4.1,1.0,,
4.3.3,1.0,,
3.5.5,1.0,,
4.3.2,1.0,,
1.4.7,1.0,,
3.4.15,1.0,,
2.7.2,1.0,,
6.1.2,1.0,,
