RPAIR,Score,EC,KO
RP03875,0.897,3.4.19.9 6.3.2.17,K01307 K01930
RP01186,0.897,6.3.2.17,K01930 K11754
RP14710,0.640,6.3.2.32,K14940
RP14708,0.575,6.3.2.34,K12234
RP15337,0.469,6.3.2.-,K05827
RP15018,0.438,6.3.2.33,K15740
RP15346,0.431,,K05831
RP00824,0.404,2.3.2.4 6.3.2.2,K00682 K01919 K11204 K11205
RP00611,0.401,2.3.2.2 2.3.2.4,K00681 K00682
RP03793,0.401,2.3.2.2,K00681
RP04539,0.396,2.3.2.2,K00681
RP03587,0.396,2.3.2.2,K00681
RP11087,0.384,3.5.1.94,K09473
RP02500,0.342,6.3.2.13,K01928 K15792
RP00881,0.335,3.5.1.96,K05526
RP02498,0.327,6.3.2.7,K05362
RP03994,0.325,6.3.2.39,K03895
RP14706,0.318,6.3.2.31,K12234
RP02060,0.301,6.3.2.12 6.3.2.17,K01930 K11754
RP15223,0.298,3.4.15.6,K13282
RP15949,0.294,6.3.2.38,K03894
RP04458,0.277,2.3.1.1 2.3.1.35,K00618 K00619 K00620 K11067 K14681 K14682
RP00432,0.274,6.3.2.3,K01920
