COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
255;;c551+c66+c5<=>c552+c64;
256;;c391+c68+c5<=>c390+c70;
257;;c553+c416+c5<=>c491+c13;
258;;c554+c157<=>c555+c4+c5;
259;;c556+c64+c5<=>c557+c66;
260;;c558+c11+c14<=>c141+c225+c89;
261;;c171+c559+c179+c70+c70<=>c560+c561+c378+c262+c177+c68+c5+c5;
262;;c4+c53<=>c35+c52;
263;;c562+c11<=>c195+c19;
264;;c563+c10+c5<=>c564+c13;
265;;c380+c380+c565+c11+c5+c5<=>c566+c379+c379+c14;
266;;c567+c196<=>c568+c569;
267;;c570+c10+c5<=>c571+c13;
268;;c572+c11+c14<=>c573+c574+c89;
269;;c575+c46+c19<=>c576+c48+c11;
270;;c577+c48+c11<=>c578+c46+c19;
271;;c579+c4+c5<=>c580+c7;
272;;c581<=>c582;
273;;c583+c584<=>c585+c14;
274;;c300+c139+c44<=>c301+c417+c52;
275;;c586+c587+c5<=>c588+c19+c44;
276;;c345+c52<=>c589+c53+c5;
277;;c590+c10+c11+c5<=>c12+c13+c14;
278;;c591+c591+c14+c14<=>c592+c592+c11;
279;;c10+c11+c5<=>c89+c13;
280;;c77+c10+c5<=>c593+c13;
281;;c594+c161<=>c595+c163+c5;
282;;c596+c596+c597<=>c598+c33+c33;
283;;c599+c44<=>c600;
284;;c61+c77<=>c601;
285;;c602<=>c603+c14;
286;;c604+c44<=>c73+c14;
287;;c605+c118<=>c606+c14+c14;
288;;c312+c10+c5+c5<=>c199+c13+c14;
289;;c607+c64+c11+c5<=>c608+c66+c14;
290;;c609+c70<=>c41+c68+c5;
291;;c277+c70<=>c610+c68+c5;
292;;c172+c119<=>c171+c139+c5;
293;;c611+c11<=>c612+c89;
294;;c613+c14<=>c614+c92;
295;;c615+c44<=>c97+c278+c5;
296;;c616+c14<=>c290+c116+c5;
297;;c617+c66<=>c618+c64+c5;
298;;c619+c169<=>c169+c619;
299;;c620<=>c621;
300;;c622+c14+c5<=>c623;
301;;c624+c625<=>c626+c57+c5+c5;
302;;c627+c372+c48+c11+c5<=>c628+c46+c19+c14;
303;;c76+c70+c70+c70<=>c629+c68+c68+c68+c5+c5+c5;
304;;c630+c64+c5<=>c631+c66;
305;;c632+c14<=>c633+c44;
