EC,Weighted Score,Observed Freq,Reactions
2.7.1,436.4,9,R00200 R00430 R00572 R00659 R00724 ... (9 reactions)
3.1.3,126.1,1,R00208
3.6.1,94.1,,
2.7.8,70.3,,
2.7.4,66.1,,
2.7.7,39.1,,
3.6.3,35.1,,
2.7.11,30.9,,
3.1.4,26.3,,
2.7.2,12.0,,
2.7.6,9.6,,
3.6.4,8.9,,
2.7.3,8.9,1,R02628
3.1.7,6.8,,
4.6.1,5.3,,
2.7.9,4.8,2,R00199 R00206
3.6.5,4.1,,
3.2.1,2.8,,
2.7.12,2.8,,
2.7.13,2.4,,
4.1.1,2.1,,
2.6.-,2.0,,
2.7.-,2.0,,
2.7.10,1.4,,
1.3.7,1.4,,
1.18.6,1.4,,
4.2.3,1.0,,
2.7.99,1.0,,
3.1.5,1.0,,
2.4.1,0.9,,
5.1.3,0.9,,
1.19.6,0.7,,
3.-.-,0.7,,
