Reaction ID,Theia
R10609,"2.4.2,0.9998902082443237;2.4.1,7.898949115769938e-05;2.3.1,2.4017348550842144e-05;5.1.3,5.172430519451154e-06;2.4.-,6.198442292770778e-07"
R13196,"4.2.2,0.7489230036735535;5.3.1,0.22010673582553864;5.5.1,0.012950079515576363;1.1.3,0.012006543576717377;2.4.1,0.002129962667822838"
R01963,"3.2.1,0.9994204044342041;3.1.6,0.0004361992469057441;3.10.1,0.00011759327026084065;3.4.13,8.315925697388593e-06;3.4.17,5.818222234665882e-06"
R02750,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R08870,"2.3.3,0.9525169134140015;2.3.1,0.039209552109241486;3.1.2,0.004793668165802956;3.2.1,0.0016121305525302887;4.1.3,0.0006988821551203728"
R00192,"3.3.1,0.6959245800971985;3.13.1,0.294357568025589;4.4.1,0.003501424565911293;3.1.2,0.0016738895792514086;4.2.1,0.0016099910717457533"
R03789,"2.4.2,0.9999947547912598;3.2.2,5.187727765587624e-06;2.4.1,1.4562132832907082e-08;1.17.3,9.282739910076998e-09;4.1.3,1.63427171795405e-09"
R02791,"2.7.7,0.4783138036727905;2.4.2,0.38755354285240173;5.1.3,0.056304771453142166;2.3.1,0.05459905415773392;2.4.1,0.014341888949275017"
R08010,"1.21.3,0.9828091263771057;1.14.18,0.012725142762064934;1.-.-,0.002167902421206236;1.10.3,0.0004200646944809705;1.1.3,0.00033078118576668203"
R05563,"3.2.1,0.9419474601745605;3.5.1,0.0574805922806263;3.1.1,0.0001507736014900729;3.2.2,0.00011749596887966618;3.1.26,4.102754974155687e-05"
R00491,"5.1.1,0.9914905428886414;1.4.1,0.001463241525925696;1.4.3,0.0012375625083222985;2.6.1,0.00116375379730016;4.3.1,0.0005074702785350382"
R12012,"2.4.1,0.9761189222335815;2.4.-,0.010049762204289436;2.7.7,0.0072277868166565895;5.1.3,0.0015566510846838355;2.7.1,0.0012095938436686993"
R04741,"1.1.1,0.8492395877838135;2.3.1,0.14983037114143372;4.2.1,0.00039311638101935387;1.14.13,0.00011703343625413254;1.-.-,0.00010366214701207355"
R04340,"1.5.1,0.9993934631347656;1.1.1,0.00022945035016164184;2.3.1,0.00010467621177667752;1.2.1,9.310139284934849e-05;1.14.13,7.288951746886596e-05"
R01337,"1.2.1,0.9998635053634644;1.1.1,0.0001034495944622904;1.2.3,1.2429096386767924e-05;1.4.1,7.961193659866694e-06;1.5.1,7.3821161095111165e-06"
R00810,"5.4.99,0.816469669342041;2.4.1,0.1806856244802475;5.4.1,0.0016820946475490928;3.2.1,0.0009162186179310083;2.3.1,4.8438203521072865e-05"
R08759,"1.14.15,0.985609233379364;1.1.1,0.01285862922668457;1.14.13,0.0005788634880445898;4.1.1,0.00033340786467306316;1.1.-,0.00017741725605446845"
R05876,"2.3.1,0.9999432563781738;3.1.1,2.9976130463182926e-05;1.14.11,1.2116419384256005e-05;2.6.1,5.409039204096189e-06;6.2.1,4.976036052539712e-06"
R02305,"5.5.1,0.6331427097320557;4.2.3,0.3392292857170105;5.4.99,0.01663920469582081;5.3.3,0.006409176159650087;4.3.2,0.0033428960014134645"
R03055,"3.5.2,0.9992530941963196;3.5.1,0.0005532793002203107;3.1.1,6.282119284151122e-05;4.2.1,3.394014129298739e-05;3.1.2,3.181101055815816e-05"
R09986,"1.1.1,0.9990046620368958;1.14.13,0.0009600688354112208;5.3.3,1.0077193110191729e-05;1.-.-,5.758272891398519e-06;1.3.1,4.740223175758729e-06"
R13359,"2.3.1,0.8668457269668579;1.14.11,0.0633624792098999;1.1.1,0.023089027032256126;2.6.1,0.014468579553067684;4.1.2,0.007670776452869177"
R13330,"1.14.14,0.9963008165359497;2.5.1,0.0008586045005358756;1.5.99,0.00042205481440760195;1.5.1,0.0003922421019524336;3.4.21,0.0003614882007241249"
R12821,"2.1.1,0.9999573230743408;4.3.99,2.0802563085453585e-05;2.5.1,6.160525117593352e-06;1.3.-,5.346744728740305e-06;1.-.-,5.1272782002342865e-06"
R07898,"1.1.1,0.9988874793052673;1.3.1,0.0005620968877337873;1.2.1,0.00038053657044656575;2.3.1,9.997317829402164e-05;1.18.1,2.872902223316487e-05"
R02648,"3.1.4,0.9811452031135559;3.1.3,0.018770352005958557;3.6.1,6.90044034854509e-05;4.6.1,4.119165623706067e-06;3.1.11,3.0865635380905587e-06"
R06642,"1.14.13,0.7870978713035583;1.3.1,0.12032035738229752;1.1.1,0.05512671917676926;1.14.14,0.011637689545750618;1.14.12,0.01069250050932169"
R04389,"1.1.1,0.20505842566490173;3.2.1,0.18046820163726807;1.1.99,0.15301471948623657;5.3.3,0.09790905565023422;4.2.1,0.08551453799009323"
R00577,"2.3.1,0.9999268054962158;6.2.1,6.359133840305731e-05;1.2.1,3.2984569315885892e-06;3.1.2,2.8144268071628176e-06;2.3.3,9.928455710905837e-07"
R03465,"4.1.2,0.994500994682312;4.2.1,0.0035580922849476337;4.5.1,0.0008558613481000066;2.6.1,0.0006264236872084439;2.3.1,0.000150315448991023"
R04560,"2.1.2,0.9922388195991516;6.3.4,0.004879437852650881;4.3.1,0.001116311177611351;1.4.4,0.0004119622171856463;1.5.1,0.00029118661768734455"
R02768,"2.3.1,0.9901649355888367;3.1.2,0.008596894331276417;3.1.1,0.0010791898239403963;6.2.1,0.00010338639549445361;1.2.7,3.2723120966693386e-05"
R08192,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R08274,"1.14.14,0.5591974854469299;1.14.13,0.4397432804107666;1.14.99,0.0009137470624409616;1.13.12,5.440392851596698e-05;1.14.-,3.9504993765149266e-05"
R02999,"6.5.1,0.38378840684890747;1.8.1,0.1484457105398178;1.6.5,0.13250742852687836;1.6.99,0.10878806561231613;1.19.1,0.10644376277923584"
R08768,"1.14.13,0.9794051647186279;1.14.14,0.016866212710738182;1.14.-,0.0014318700414150953;1.14.15,0.0009382757125422359;1.-.-,0.0003558517200872302"
R10619,"5.1.3,0.6315134763717651;3.2.1,0.22477249801158905;2.7.7,0.06188534200191498;2.4.1,0.023579811677336693;5.3.1,0.018170319497585297"
R05146,"2.3.1,0.6573104858398438;1.13.12,0.2511814832687378;2.8.1,0.030861038714647293;3.1.1,0.012779193930327892;2.1.1,0.008659889921545982"
R00727,"6.2.1,0.6904245615005493;2.3.1,0.2650768756866455;2.7.3,0.029464222490787506;6.3.2,0.008649682626128197;3.1.2,0.0022301645949482918"
R01784,"4.1.2,0.8729096055030823;4.1.3,0.12161576747894287;2.4.1,0.0027614349965006113;2.3.1,0.0007622773409821093;5.4.99,0.00030132484971545637"
