COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
306;;c634+c552<=>c635+c5;
307;;c636+c637<=>c638+c14;
308;;c77+c118<=>c316;
309;;c639+c437+c46+c19<=>c640+c48+c11;
310;;c641+c642+c642<=>c643+c644+c14;
311;;c513+c52<=>c514+c53;
312;;c645+c14<=>c646+c363+c5;
313;;c647+c10+c5+c5<=>c648+c13+c14;
314;;c649+c52<=>c650+c53+c5;
315;;c203+c157<=>c651+c4+c5;
316;;c652+c14<=>c653+c44+c5;
317;;c654+c379<=>c655+c380;
318;;c656+c44<=>c463+c52;
319;;c657+c14<=>c334;
320;;c658+c116<=>c659+c114;
321;;c660+c14<=>c661+c92;
322;;c662+c116<=>c59+c663;
323;;c293+c53+c5<=>c294+c52;
324;;c664+c116+c5<=>c665+c114;
325;;c666+c372+c5<=>c667+c14;
326;;c668+c14<=>c669+c400;
327;;c670+c671+c139+c44+c5<=>c672+c339+c52;
328;;c393+c297<=>c296+c282;
329;;c38+c5<=>c673+c19;
330;;c239<=>c674+c44;
331;;c675+c14<=>c312+c569;
332;;c676+c64+c11+c5<=>c677+c66+c14;
333;;c678+c19<=>c679+c5;
334;;c680<=>c681;
335;;c682+c64+c11<=>c683+c66+c14;
336;;c684<=>c74+c77;
337;;c147+c148<=>c146+c14;
338;;c42<=>c685+c44;
339;;c686+c14<=>c687+c100;
340;;c688+c10+c5+c5<=>c689+c13;
341;;c690+c10+c5<=>c691+c13;
342;;c692+c13<=>c693+c10+c5;
343;;c694+c136+c136+c11+c5+c5<=>c427+c138+c138+c14+c14;
344;;c695+c52+c14<=>c695+c53+c18+c5;
345;;c696+c11+c14<=>c196+c89+c118;
346;;c697+c698<=>c699+c415+c5;
347;;c700+c44<=>c42;
348;;c602+c64+c5<=>c701+c66;
349;;c702+c291<=>c703+c116;
350;;c704+c68+c5<=>c327+c70;
351;;c705+c706<=>c707+c14;
352;;c708+c10+c5<=>c709+c13;
353;;c710+c14<=>c711+c5+c5;
354;;c712+c713+c179<=>c523+c177+c14;
355;;c714+c118+c52<=>c715+c53+c18+c14+c5;
356;;c52+c14<=>c139+c44+c5;
