,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,NaN,A0A1S4NYD4,NaN,Pseudomonas sp,11.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,NaN,0.0,0.60111,NaN,-1,0.601106,-,-,-,-,-,-,-,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
2,NaN,A0A0H3GCV8,NaN,Listeria monocytogenes,15.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,NaN,0.0,0.60111,NaN,-1,0.601106,-,-,-,-,-,-,-,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
3,NaN,Q02158,1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase,Dictyostelium discoideum OX=44689,18.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,2.0,0.0,0.60111,NaN,-1,0.601106,31.2,24.5,25.5,20.9,91280.17,6.5108,53.683,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
4,NaN,Q9TZN8,NaN,Trypanosoma cruzi,19.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,NaN,0.0,0.60111,NaN,-1,0.601106,-,-,-,-,-,-,-,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
5,NaN,Q3ZTU7,NaN,Toxoplasma gondii,20.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,NaN,0.0,0.60111,NaN,-1,0.601106,-,-,-,-,-,-,-,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
6,NaN,P40977,1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase 1,Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812,21.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,1.0,0.0,0.60111,NaN,-1,0.601106,32.4,25.8,21.6,22.0,102673.31,8.4554,51.947,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
7,NaN,Q766D4,NaN,Physcomitrium patens,22.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,NaN,0.0,0.60111,NaN,-1,0.601106,-,-,-,-,-,-,-,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
8,NaN,B4XX94,NaN,Cryptococcus neoformans var. grubii,22.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,NaN,0.0,0.60111,NaN,-1,0.601106,-,-,-,-,-,-,-,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
9,NaN,B4XX95,NaN,Cryptococcus neoformans var. grubii,22.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,NaN,0.0,0.60111,NaN,-1,0.601106,-,-,-,-,-,-,-,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
10,NaN,P32383,1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292,22.0,MNXR148155,MNXR148100_0.47723182642978784_nan|MNXR150961_0.4747690462525981_nan,3.1.4.11,1.0,0.0,0.60111,NaN,-1,0.601106,35.9,22.6,20.6,22.7,100547.55,9.5541,52.704,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O.O>>*C(=O)OCC(CO)OC(*)=O.O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O,[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC([*])=O>>O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]C(=O)OCC(CO)OC([*])=O
