Reaction name,SIMMER pred
R05035,2.1.1
R03755,2.3.1
R07631,4.2.3
R07025,3.4.19
R09825,2.6.1
R10967,2.3.1
R05684,1.3.1;1.1.1
R11917,4.1.1
R09987,1.1.1
R01506,1.13.11
R09890,4.2.3
R13030,6.2.1;2.3.1
R02421,2.4.1
R08045,1.14.12;1.1.1
R08661,2.4.1
R04505,2.1.1
R08617,4.2.3
R02773,2.6.1
R09329,1.1.1
R09739,
R12498,2.7.7
R01451,1.5.1;1.1.1
R01340,
R02677,2.7.7;2.4.1
R08669,3.6.1
R03524,5.1.3
R08386,2.3.1
R04034,3.1.1
R00761,4.1.2
R05629,2.7.7;2.4.1
R03423,3.1.4
R01645,4.1.2
R00647,
R09715,5.5.1
R10846,5.4.1;5.3.1
R01416,3.5.3
R10239,2.3.1
R03974,2.3.1
R12722,3.1.3
R11031,1.5.1;1.1.1
R03582,1.3.1;1.1.1
R08839,2.4.1
R01921,1.1.1
R11513,4.2.1
R13055,5.1.3
R06626,
R08104,1.5.1;1.14.12;1.1.1
R11882,1.16.3;1.13.11
R01768,1.3.1;1.1.1
R04451,2.4.1
R12037,2.4.1
R05049,1.3.1;1.1.1
R03770,2.7.1
R02509,3.5.1
R10419,1.14.13;1.14.12;1.1.1
R11723,6.2.1;2.3.1
R00140,2.7.4;2.7.1
R02056,2.1.1
R01258,1.4.1;1.14.13;1.14.12;1.1.1
R01982,3.2.1
R08653,1.5.1;1.1.1
R10762,4.2.3
R03880,2.4.1
R11420,2.4.1
R06502,5.2.1
R03702,5.5.1
R02908,1.4.3
R11013,
R08222,2.4.2
R10902,6.3.4;6.3.2
R00616,2.7.7
R02490,2.8.3
R01366,4.1.1
R09876,3.5.4;3.5.1
R08540,4.2.3
R01498,3.2.1
R07527,2.1.1
R03306,1.14.12;1.1.1
R08966,2.7.7
R05167,3.5.1
R08115,1.13.11
R07648,4.2.3
R08968,2.7.1
R06871,3.1.3
R06345,4.2.99
R12080,3.1.1;2.5.1
R12951,6.6.1
R11868,5.4.99
R09112,
R10280,5.1.3
R09729,2.7.1
R03058,1.13.11
R13196,5.5.1
R10401,3.1.1
R13277,3.2.1;2.4.1
R05650,1.13.11
R05307,1.1.1
R06759,1.13.12;1.10.3
R05299,1.13.11
R09881,3.6.1;2.7.7
R12662,1.13.11
R06336,1.14.11
R10283,
R00185,2.7.1
R01437,4.1.1
R02493,2.7.1
R04660,2.4.1
R04279,1.1.1
R07902,2.3.1
R10695,3.5.4
R07145,1.1.1
R07066,1.7.1;1.1.1
R02862,2.1.1
R00357,2.6.1
R08738,2.3.1
R02953,4.4.1
R05806,2.7.1
R08332,2.3.3;2.3.1
R09381,3.1.1
R04695,1.3.1;1.5.1;1.1.1
R11282,2.4.1
R02837,2.3.1
R09181,3.1.1
R03921,3.2.1;2.4.1
R07864,1.13.11
R06979,3.5.1
R02975,1.3.1;1.5.1;1.1.1
R12970,3.2.1
R02462,1.8.1;1.1.1
R09765,2.4.1
R06806,2.3.1
R09507,1.11.2;1.11.1
R06644,2.3.1
R03950,
R09780,5.3.1
R00181,3.5.4
R05838,
R08051,2.5.1
R09620,4.2.3
R03281,1.3.1;1.1.1
R04125,2.1.2
R10426,2.4.1
R02063,1.3.1
R09445,1.11.1
R00203,1.14.13;1.14.12;1.1.1
R05162,2.1.1
R00704,1.14.13;1.17.1;1.14.12;1.1.1
R04016,2.4.1
R11224,2.4.1
R08850,3.4.17;3.4.16
R02201,1.5.1;1.3.1;1.1.1
R10451,2.1.1
R10836,2.4.2
R12670,3.1.3;3.1.1
R07181,1.14.13;1.1.1
R05171,3.5.1;3.5.2
R00428,
R13368,3.5.1
R04361,2.3.1
R10167,2.1.1
R05475,1.1.1
R01424,3.5.1
R11195,1.1.1
R10951,2.7.7
R08880,1.3.1;1.1.1
R10344,3.1.4
R04682,1.1.1
R01290,4.4.1
R00953,2.4.1
R03698,1.14.11
R10663,1.2.1;1.14.13;1.1.1
R02797,3.5.1
R11407,5.5.1
R02620,1.2.1
R01395,2.7.4;2.7.1
R04382,3.2.1
R10470,6.3.4;2.7.1
R11718,4.1.2
R02508,3.5.1
R07535,2.1.1
R05641,1.3.1;1.14.13;1.1.1
R09723,3.2.1
R00451,5.1.1
R04541,
R10217,1.14.12;1.1.1
R08536,1.1.1
R07137,1.3.1;1.1.1
R02556,3.5.4
R02983,1.1.1
R09781,2.4.2;2.4.1
R05805,3.6.1
R09668,2.4.2
R05821,5.3.99
R00371,2.3.1
R06857,1.3.1;1.14.12;1.1.1
R11563,3.5.1
R07338,2.4.1
R09677,3.2.1;2.4.1
R05158,1.14.12;1.14.13;1.1.1
R10450,2.1.1
R02014,3.2.1
R01781,1.4.1;1.1.1
R01959,3.5.1
R11778,2.1.1
R06470,1.1.1
R09521,1.3.1;1.1.1
R11026,1.14.12;1.3.1;1.1.1
R05699,1.2.1;1.14.12;1.1.1
R11233,4.2.1
R06703,2.1.1
R06690,1.14.13;1.1.1
R08639,5.4.2
R07711,1.14.13;1.1.1
R10657,2.7.1
R05567,3.5.4
R02016,
R02252,1.5.1;1.3.1;1.1.1
R00509,2.7.1
R02123,1.2.1;1.1.1
R04602,1.13.11
R11478,1.11.1
R00053,1.13.11
R12640,2.7.7;6.3.5
R12997,1.1.1
R04424,4.1.3;4.2.1
R11842,4.2.3
R09069,1.1.1
R03080,1.1.1
R08692,2.4.1
R02216,1.1.1
R12410,3.4.11
R04162,3.1.3
R02433,2.6.1
R11715,2.4.1
R10797,
R03803,3.1.1;3.1.4
R01074,6.3.4
R02594,2.4.1
R10955,2.4.1
R09402,1.14.11
R08391,1.5.1;1.14.13;1.1.1
R10857,5.3.2
R10427,2.4.1
R10453,6.4.1
R11588,2.3.1
R12492,2.8.3
