EC,Weighted Score,Observed Freq,Reactions
2.3.1,826.5,70,R01281 R01626 R01933 R02570 R02571 ... (39 reactions)
6.2.1,77.0,,
3.1.1,69.4,,
3.1.2,61.7,,
1.2.1,37.9,,
2.5.1,29.0,2,R07093 R07094
6.1.1,27.1,,
2.3.3,22.9,,
2.1.1,21.7,,
2.3.2,20.2,,
1.2.7,16.5,4,R01197 R01199 R08566
4.4.1,12.9,,
4.1.3,9.9,,
1.2.4,9.5,5,R01700 R01702 R01933 R01940 R08549
3.5.1,8.1,,
1.8.1,7.0,2,R01933 R08549
4.1.2,6.5,,
2.1.3,5.9,,
4.1.1,5.9,,
1.1.1,5.0,,
1.14.-,5.0,,
3.2.1,4.8,,
6.4.1,3.5,,
3.7.1,3.5,,
1.14.99,3.0,,
2.8.1,3.0,,
1.8.3,3.0,,
1.2.3,2.2,,
4.2.1,2.0,,
2.3.-,2.0,,
1.13.11,2.0,,
2.8.3,2.0,,
1.-.-,1.9,,
2.1.2,1.2,,
1.14.18,1.0,,
2.6.1,1.0,,
3.3.1,1.0,,
4.5.1,1.0,,
6.1.2,1.0,,
6.3.4,0.8,,
1.4.4,0.5,,
1.14.12,0.5,,
3.11.1,0.5,,
3.10.1,0.4,,
6.3.1,0.3,,
2.1.4,0.3,,
2.8.2,0.2,,
3.5.4,0.2,,
6.3.2,0.2,,
