Reaction ID,SelenzymeRF
R03681,2.4.1.111;2.4.1.35;2.4.1.170;3.1.3.48
R02297,2.4.2.-|2.4.2.1
R11326,4.2.3.154;2.2.1.2
R10782,1.3.8.1;4.2.1.120;4.2.1.17;4.2.1.-|4.2.1.134
R09764,2.4.99.12|2.4.99.13;2.4.99.1;2.7.8.41;2.7.8.46;2.7.8.14;3.6.1.26;3.1.3|3.1.3.2
R10443,3.6.1.5;3.6.1.15|3.6.1.5
R13248,3.4.17.14|3.4.17.8;3.4.16.4|3.4.17.8;6.3.2.42;3.4.17.21;6.3.1.9;3.1.2.6
R12867,3.6.1.5;6.3.2.14;6.3.2.39;6.1.1.15
R13043,1.8.4.2;1.8.1.7;1.8.1.12;2.5.1.18
R05222,2.1.1.326;1.14.13.187;2.7.4.3
R12023,1.14.19.56;1.14.19.9;1.14.14.15;1.14.14.13;1.3.8.1|1.3.8.4|1.3.8.7;1.3.8.2;1.14.14.46;1.1.99.21;1.1.99.31;1.14.14.3;1.14.14.5;1.14.19.60;1.14.19.49;1.14.19.58;1.14.19.59;1.1.99.1
R13273,1.3.1.9|2.3.1.-;1.6.5.4
R08190,2.3.1.301;6.2.1.3;2.3.1.41;2.3.1.207;2.3.1.26;2.3.1.23
R09563,1.11.1.17;1.11.1.9;1.11.1.12;1.11.1.27;1.4.3.13;1.11.1.12|2.5.1.18;1.21.4.5|1.8.99.-|2.5.1.-;2.8.1.3
R09086,2.7.1.1|2.7.1.55;2.7.1.1;5.4.2.2;2.7.1.147;2.7.1.1|2.7.1.2
R05297,4.2.1.80;4.2.1.132|4.2.1.80;1.1.1.71;4.2.1.-|4.2.1.163;1.1.1.4;1.1.1.1
R00842,1.1.1.8|1.1.1.94|1.1.5.3;1.1.1.261
R11045,2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.17;2.1.1.98;2.1.1.80;2.1.1.297|2.1.1.298
R00821,4.1.1.55;1.14.13.1;1.3.1.25;4.1.1.98;4.1.1.77;4.1.1.68;2.3.1.180
R01225,2.1.2.7;2.1.2.11
R11330,5.1.3.38;5.3.1.33;1.1.1.402;2.7.1.5;2.7.1.3;4.1.1.121;4.1.2.13
R12823,4.2.3.38;4.2.3.138;4.2.3.149;4.2.3.55;4.2.3.187;4.2.3.174;2.4.2.43;2.5.1|2.5.1.31|2.5.1.M1;4.2.3.108|4.2.3.111;4.2.3.112;4.2.3.8;4.2.1.-|4.2.1.137;4.2.3.54;4.2.3.81;4.2.3.17;4.2.3.145
R07405,3.6.1.5;2.7.8.41;3.6.1.26;5.1.3.9
R12817,1.14.13.242;3.5.4.11;1.10.3.4;2.4.2.31;2.6.1.63|2.6.1.7;1.1.1.328;2.1.1.74
R09765,2.4.99.15;2.4.99.14;2.4.99.13;2.4.99.12;2.7.7.38
R10255,2.7.8.38;2.7.8.8;2.7.1.20|2.7.1.74;2.7.8.46;5.4.2|5.4.2.2|5.4.2.7
R03558,3.2.1.21
R01341,1.4.3.2;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.1.3.15;1.4.3.3;1.4.3.1|1.4.3.11|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1
