EC,Weighted Score,Observed Freq,Reactions
2.3.1,824.2,44,R01318  R01807  R01923  R01946  R02114  ... (40 reactions)
3.1.1,78.6,25,R00048  R01313  R01315  R01317  R01352  ... (24 reactions)
6.2.1,74.0,,
3.1.2,56.7,,
1.2.1,34.4,,
6.1.1,27.1,1,R02718
2.3.3,21.7,,
2.3.2,19.6,,
1.2.7,9.5,,
3.5.1,7.7,,
3.7.1,6.6,,
3.2.1,3.7,,
2.1.3,3.0,,
1.2.4,2.9,,
1.8.1,2.9,,
1.1.1,2.8,,
4.1.3,2.0,,
2.5.1,2.0,,
2.3.-,1.9,,
2.8.3,1.9,,
4.4.1,1.9,,
2.1.1,1.9,,
1.-.-,1.9,,
6.1.2,1.0,1,R09588
3.5.3,1.0,,
1.2.3,1.0,,
2.6.1,0.9,,
6.3.1,0.2,,
6.3.4,0.2,,
2.1.2,0.2,,
2.2.1,0.2,,
