COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
357;;c716<=>c717+c168;
358;;c718+c719+c52<=>c720+c53+c18+c5;
359;;c42<=>c721+c44;
360;;c465<=>c464;
361;;c722+c114<=>c723+c116+c5;
362;;c724+c724+c10+c11+c11<=>c725+c725+c13+c5;
363;;c196+c64+c5<=>c285+c66;
364;;c726+c44<=>c42;
365;;c727+c177+c14+c14<=>c728+c179+c11+c11;
366;;c729<=>c730;
367;;c731<=>c732+c368;
368;;c733+c733+c52<=>c734+c53+c18+c5;
369;;c735+c27+c14+c5<=>c736+c25+c11;
370;;c737+c301+c52<=>c738+c139+c44;
371;;c739+c52<=>c740+c53+c5;
372;;c169+c523<=>c741+c713;
373;;c742+c138+c138+c14<=>c743+c136+c136+c11+c5+c5;
374;;c101+c70+c70<=>c744+c68+c68+c5+c5;
375;;c745+c10+c11+c5<=>c746+c13;
376;;c747+c202+c5<=>c748+c749;
377;;c750+c4+c5<=>c29+c157;
378;;c751+c14<=>c752+c118;
379;;c753+c13<=>c451+c10+c5;
380;;c754+c10+c5+c5<=>c755+c13;
381;;c756+c139+c44<=>c757+c758+c52;
382;;c42+c14<=>c759+c44;
383;;c196+c118<=>c760+c14;
384;;c666+c139+c44<=>c271+c52+c116;
385;;c417+c761<=>c762+c14;
386;;c763+c11+c14<=>c764+c199+c89;
387;;c765+c5<=>c766+c19;
388;;c661<=>c767+c18;
389;;c768+c4<=>c415+c7;
390;;c601+c769<=>c770+c46;
391;;c771+c70+c70<=>c772+c68+c68+c5+c5+c5;
392;;c773+c371<=>c774+c374+c5;
393;;c775+c66<=>c776+c64+c5;
394;;c777+c14<=>c778;
395;;c46+c10+c5+c5<=>c141+c13+c14;
396;;c779+c7<=>c780+c4+c5;
397;;c781+c53+c5<=>c782+c52;
398;;c783+c14<=>c784;
399;;c155+c66+c14<=>c513+c64+c5+c5;
400;;c785+c53+c18+c5<=>c734+c786+c52;
401;;c136+c136+c77+c5+c5<=>c138+c138+c787;
402;;c788+c44<=>c789;
403;;c790+c163+c5<=>c791+c161;
404;;c57+c53<=>c792+c52;
405;;c793+c27+c14+c5<=>c794+c25+c11;
406;;c769+c76+c5<=>c83+c19+c116;
407;;c795+c13<=>c224+c10+c5;
