RPAIR,Score,EC,KO
RP10228,0.065,1.14.14.1,K07415
RP01909,0.063,4.2.3.16,K15088
RP05467,0.063,4.2.3.20,K15096
RP11142,0.061,4.2.3.23,K14179
RP10201,0.060,1.14.14.1,K07412 K07415
RP10200,0.060,1.14.14.1,K07412 K07415
RP15064,0.060,4.2.3.60,K15802
RP11143,0.059,4.2.3.75,K10187 K15803
RP12979,0.059,4.2.3.71,K15801
RP15063,0.059,4.2.3.55,K15794
RP15054,0.058,4.2.3.40,K15795
RP15053,0.058,4.2.3.59,K15796
RP12985,0.058,4.2.3.56,K14186
RP12980,0.057,4.2.3.- 4.2.3.104,K14184
RP15453,0.055,1.14.13.149,K02609 K02610 K02611 K02612 K02613
RP14031,0.054,4.1.99.-,K11782
RP05354,0.053,4.2.3.120,K07384
RP05353,0.051,4.2.3.119,K07384
RP01947,0.048,4.2.3.8,K12929
RP12978,0.047,4.2.3.57,K14184 K15808
RP13638,0.046,4.2.3.73,K14181
RP14371,0.043,4.2.3.30,K14038
RP14370,0.043,4.2.3.29,K14037
RP05498,0.041,4.2.3.32,K14041
RP05497,0.039,4.2.3.32,K14041
RP01114,0.037,1.3.1.19,K16269
RP03714,0.037,1.3.1.19,K16269
RP04951,0.036,1.3.1.19,K16269
RP09313,0.035,1.3.1.87,K05711
RP09576,0.035,1.3.1.87,K05711
RP01643,0.035,4.2.1.118,K09483 K15652
RP01561,0.035,1.3.1.28,K00216
RP05004,0.035,1.3.1.-,K15252
RP04844,0.034,1.3.1.-,K15237 K15238
RP04841,0.032,1.3.1.56,K08690
RP04842,0.032,1.3.1.58,K10620
RP04843,0.032,1.3.1.56,K08690
RP14367,0.030,4.2.3.35,K14046
RP14360,0.030,4.2.3.44,K14042
RP10130,0.029,1.14.14.1,K07408 K07409 K07412 K07415 K07416 K07420
RP10131,0.029,1.14.14.1,K07408 K07409 K07412 K07415 K07416 K07420
RP05496,0.029,4.2.3.18,K12927
RP14369,0.028,4.2.3.28,K14036
RP10678,0.028,4.3.3.6,K06215 K08681
RP10225,0.028,1.14.14.1,K07408 K07409 K07412 K07415 K07416
RP10224,0.028,1.14.14.1,K07408 K07409 K07412 K07415 K07416
RP09093,0.027,,K16020
RP02749,0.027,4.2.3.4,K01735 K13829 K13830
RP05499,0.027,4.2.3.32,K14041
RP13558,0.026,4.2.3.124,K13546
RP04693,0.022,4.2.3.19,K04121
RP15547,0.022,4.2.3.103,K16082
RP09038,0.021,4.2.99.21,K04781 K04782
RP01416,0.021,4.1.3.40,K03181
RP14366,0.021,4.2.3.34,K14045
RP11877,0.021,,K12928
RP12130,0.020,1.3.-.-,K14601
