reaction,REACTION_ID,true_EC
10041-3.1.3.7-Q,10041,3.1.3.7
10105-1.14.11.15-Q,10105,1.14.11.15
10189-2.3.3.10-Q,10189,2.3.3.10
10193-7.3.2.3-Q,10193,7.3.2.3
10261-7.2.2.14-Q,10261,7.2.2.14
10269-4.1.2.20-Q,10269,4.1.2.20
10285-5.4.3.7-Q,10285,5.4.3.7
10349-3.5.2.9-Q,10349,3.5.2.9
10377-7.2.2.9-Q,10377,7.2.2.9
10469-4.1.2.9-Q,10469,4.1.2.9
10509-2.2.1.1-Q,10509,2.2.1.1
10553-1.1.3.10-Q,10553,1.1.3.10
10605-3.1.4.3-Q,10605,3.1.4.3
10613-2.4.2.38-Q,10613,2.4.2.38
10733-1.13.12.7-Q,10733,1.13.12.7
10765-1.14.20.4-Q,10765,1.14.20.4
10769-1.14.20.4-Q,10769,1.14.20.4
10805-5.1.99.3-Q,10805,5.1.99.3
10841-4.2.3.1-Q,10841,4.2.3.1
10937-1.8.5.2-Q,10937,1.8.5.2
10945-3.1.3.96-Q,10945,3.1.3.96
10953-2.3.1.106-Q,10953,2.3.1.106
11017-3.5.3.4-Q,11017,3.5.3.4
11025-2.7.3.8-Q,11025,2.7.3.8
11101-4.1.2.35-Q,11101,4.1.2.35
11133-1.3.1.33-Q,11133,1.3.1.33
11241-2.7.4.15-Q,11241,2.7.4.15
11349-7.3.2.7-Q,11349,7.3.2.7
11373-6.3.1.1-Q,11373,6.3.1.1
11381-1.14.11.72-Q,11381,1.14.11.72
11413-2.7.6.3-Q,11413,2.7.6.3
11465-1.8.4.1-Q,11465,1.8.4.1
11489-2.3.1.76-Q,11489,2.3.1.76
11509-1.14.11.16-Q,11509,1.14.11.16
11665-2.4.3.5-Q,11665,2.4.3.5
11701-1.14.13.54-Q,11701,1.14.13.54
11721-3.5.2.14-Q,11721,3.5.2.14
11725-1.8.4.8-Q,11725,1.8.4.8
11749-2.2.1.8-Q,11749,2.2.1.8
11765-3.5.3.16-Q,11765,3.5.3.16
11793-1.14.13.69-Q,11793,1.14.13.69
11897-1.1.1.181-Q,11897,1.1.1.181
11989-2.1.1.79-Q,11989,2.1.1.79
12025-2.3.1.91-Q,12025,2.3.1.91
12029-3.5.2.4-Q,12029,3.5.2.4
12105-2.1.1.45-Q,12105,2.1.1.45
12133-7.2.2.2-Q,12133,7.2.2.2
12133-7.2.2.21-Q,12133,7.2.2.21
12197-4.1.2.22-Q,12197,4.1.2.22
12241-2.3.1.165-Q,12241,2.3.1.165
12277-1.3.8.4-Q,12277,1.3.8.4
12333-7.2.2.7-Q,12333,7.2.2.7
12433-2.3.2.10-Q,12433,2.3.2.10
12437-2.3.1.138-Q,12437,2.3.1.138
12509-2.1.1.50-Q,12509,2.1.1.50
12525-1.5.1.1-Q,12525,1.5.1.1
12525-1.5.1.21-Q,12525,1.5.1.21
