reaction_id,Prediction
10041,3.1.3;3.1.7;3.1.4;3.6.1;3.6.5
10105,1.14.11;1.14.20;1.13.12;4.1.1;1.13.11
10189,2.3.3;4.1.3;2.3.1;3.1.2;3.7.1
10193,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5
10261,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5
10269,4.1.3;1.1.1;5.1.2;4.2.1;5.3.1
10285,2.6.1;5.1.1;4.1.1;6.3.2;2.3.1
10349,6.3.2;3.5.1;6.3.5;3.4.17;3.4.13
10377,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5
10469,2.3.1;5.3.1;3.1.3;1.1.1;3.1.1
10509,5.4.99;2.3.1;2.7.8;2.7.4;5.3.1
10553,1.1.3;1.5.3;1.4.3;1.13.11;1.2.3
10605,3.1.4;2.7.8;3.6.1;2.7.1;3.1.7
10613,2.4.1;2.4.2;2.7.8;3.2.1;2.7.7
10733,2.7.7;2.7.4;6.3.1;3.6.1;6.1.1
10765,1.14.20;1.14.11;1.13.12;4.2.1;1.14.18
10769,1.14.20;1.14.11;1.13.12;4.2.1;1.14.18
10805,2.6.1;5.1.1;5.3.3;2.7.4;2.5.1
10841,3.1.3;4.2.1;3.1.7;2.5.1;4.2.3
10937,2.1.1;5.3.3;1.3.1;2.5.1;4.2.99
10945,3.1.3;3.1.5;5.4.2;3.6.5;5.6.2
10953,2.3.1;3.1.2;1.2.1;6.2.1;2.3.3
11017,4.2.1;4.3.2;3.5.1;3.1.7;3.2.1
11025,2.7.1;6.3.4;2.7.4;6.3.2;2.7.7
11101,4.1.3;4.2.1;1.1.99;4.1.2;5.3.1
11133,1.3.1;1.1.1;1.5.1;1.2.1;1.8.1
11241,2.7.4;2.7.8;2.3.1;2.8.3;5.2.1
11349,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5
11373,6.3.4;6.3.2;2.7.7;6.3.1;2.7.4
11381,1.13.11;1.14.11;1.13.12;1.14.20;2.6.1
11413,2.7.1;2.7.4;2.7.11;2.7.2;2.7.6
11465,2.3.1;1.8.4;1.8.1;2.7.4;2.1.1
11489,2.3.1;2.7.8;2.3.3;3.1.2;2.4.1
11509,1.14.11;1.13.12;1.14.20;2.6.1;4.1.3
11665,3.1.4;2.4.3;2.7.8;2.4.1;2.4.99
11701,1.1.1;1.14.13;1.2.1;4.1.99;3.1.1
11721,6.3.5;6.3.1;3.6.5;6.3.4;5.6.2
11725,1.8.4;1.8.99;2.8.1;3.6.2;1.8.1
