reactionID,predictions
10041,3.1.3;3.1.4;3.6.1;3.1.7
10105,1.14.11;1.13.12;1.13.11;1.14.20
10189,2.3.2;3.1.2;3.1.1;2.8.3
10193,3.6.4;5.6.2;3.6.5;7.6.2
10261,3.1.3;3.1.7;3.5.1;2.3.2
10269,2.1.2;3.5.4;4.1.2;4.1.3
10285,2.6.99;2.8.3;5.4.3;3.4.17
10349,4.1.99;1.3.98;1.1.99;3.5.1
10377,3.1.3;3.5.1;3.1.7;3.1.1
10469,1.11.1;1.14.18;1.14.19;1.14.99
10509,4.2.1;2.6.1;2.8.3;5.4.99
10553,1.1.3;1.13.12;1.13.11;1.2.3
10605,2.3.2;3.1.4;3.1.1;3.6.1
10613,2.3.1;2.4.1;2.8.3;2.7.8
10733,6.3.3;6.3.4;4.1.99;6.3.1
10765,1.14.20;1.13.12;1.10.3;1.14.11
10769,1.13.12;1.14.20;1.14.11;1.10.3
10805,5.1.1;5.1.99;5.1.3;5.1.2
10841,4.3.1;3.5.4;4.4.1;3.5.99
10937,1.8.5;1.5.5;2.8.1;1.97.1
10945,3.1.7;3.1.3;3.8.1;3.1.4
10953,2.3.1;2.4.1;4.1.2;2.8.3
11017,3.4.17;5.4.1;3.4.19;3.4.11
11025,2.7.9;2.7.2;3.4.17;2.7.11
11101,4.1.2;4.2.1;3.5.4;4.1.3
11133,2.4.99;4.99.1;5.5.1;2.3.1
11241,2.7.6;2.7.4;3.4.15;5.1.99
11349,3.6.4;5.6.2;3.1.7;3.1.3
11373,2.1.3;6.3.3;6.3.4;6.3.1
11381,1.13.12;1.14.11;1.2.3;1.13.11
11413,1.8.99;3.12.1;1.8.2;1.2.2
11465,2.8.4;2.8.1;1.3.4;2.8.5
11489,2.3.1;2.4.1;2.8.3;2.7.1
11509,1.14.11;1.13.11;1.13.12;1.14.20
11665,2.7.8;2.7.1;2.4.1;3.1.4
11701,1.14.99;1.14.15;1.14.13;1.3.7
11721,7.6.2;7.2.2;7.4.2;6.3.3
11725,4.4.1;1.8.2;2.8.5;1.8.4
11749,2.8.3;2.6.1;4.1.2;3.1.2
11765,3.5.4;4.1.2;3.13.1;2.1.2
11793,1.14.99;1.14.13;1.14.19;1.14.15
