EC,Weighted Score,Observed Freq,Reactions
2.1.1,501.7,130,R00599 R00827 R00984 R01239 R01942 ... (127 reactions)
2.4.1,96.8,88,R01240 R01304 R02158 R02358 R02388 ... (87 reactions)
1.7.1,19.3,19,R05277 R05711 R08016 R08018 R08019 ... (17 reactions)
1.14.13,18.3,10,R02550 R05266 R05274 R05281 R05418 ... (10 reactions)
3.2.1,18.1,12,R02436 R02595 R03604 R04006 R04998 ... (12 reactions)
2.8.2,17.5,17,R00535 R00536 R00537 R01242 R01861 ... (16 reactions)
3.1.1,13.3,13,R00053 R00054 R01241 R02942 R04141 ... (13 reactions)
1.14.15,12.1,11,R02550 R05288 R05442 R05443 R05489 ... (11 reactions)
2.3.1,11.8,5,R00989 R02387 R02453 R04050 R08036
2.5.1,10.1,6,R00066 R03066 R03067 R03072 R04038
1.14.11,7.3,5,R01412 R05127 R05419 R05493 R09402
3.5.1,7.0,6,R00988 R01862 R01959 R04113 R04911
2.6.1,6.8,5,R01147 R01580 R01712 R01713 R05839
1.14.14,5.8,2,R03697 R09441
3.1.3,4.8,4,R02585 R03024
4.1.2,4.5,4,R03465 R05136 R05648 R07713
1.16.1,4.2,,
1.11.1,4.0,4,R03208 R03953 R08522 R08523
1.14.21,3.8,3,R04694 R05210 R05215
4.1.99,3.5,3,R05598 R06903 R10246
2.1.2,3.3,1,R04560
1.14.99,3.3,1,R01306
4.1.1,3.1,3,R03197 R04972 R07312
6.3.4,3.0,3,R06975 R07404 R09978
4.2.1,3.0,3,R06913 R06923 R06934
3.5.5,3.0,3,R03593 R04349 R05591
3.1.8,3.0,3,R03979 R05421 R05548
2.7.1,3.0,,
2.-.-,2.8,1,R05673
1.4.3,2.5,2,R00277 R01710
1.14.-,2.4,,
2.4.2,2.4,2,R01073 R04558
2.7.7,2.3,2,R03473 R04733
1.17.1,2.3,,
3.1.6,2.1,2,R01243 R03980
2.7.12,2.0,2,R02584
2.7.10,2.0,2,R02584
3.5.99,2.0,2,R02133 R09993
1.17.99,2.0,2,R02675 R07223
4.3.3,1.9,1,R04367
3.5.3,1.6,1,R04857
1.13.12,1.6,1,R02520
1.4.1,1.3,,
3.1.4,1.2,1,R03474
3.7.1,1.1,1,R05361
1.13.11,1.0,1,R00043
2.7.9,1.0,1,R05625
3.5.4,1.0,1,R05046
1.-.-,1.0,,
1.8.99,1.0,1,R08035
1.5.99,1.0,1,R05708
4.3.2,1.0,1,R01083
4.1.3,1.0,1,R04558
1.10.3,1.0,1,R00080
1.4.-,1.0,1,R07734
1.1.3,1.0,1,R00080
1.3.-,1.0,1,R06886
1.13.-,1.0,1,R06889
1.17.7,1.0,1,R09071
1.8.4,0.7,,
1.2.7,0.7,,
1.16.8,0.7,,
1.5.8,0.6,,
4.4.1,0.6,,
3.6.1,0.6,,
4.2.3,0.5,,
1.8.5,0.5,,
2.6.3,0.5,,
1.8.2,0.5,,
6.1.1,0.5,,
2.7.4,0.4,,
2.4.99,0.3,,
2.3.2,0.3,,
2.7.8,0.3,,
3.6.3,0.2,,
1.17.5,0.2,,
