RPAIR,Score,EC,KO
RP04935,1.000,2.3.1.157,K04042
RP00461,0.726,2.3.1.4 3.5.1.25,K00621 K01443
RP04772,0.726,3.5.1.25,K02079
RP03775,0.573,6.3.4.13,K01945 K11787 K11788 K13713
RP14224,0.556,3.5.1.112,K13551 K17078
RP04235,0.491,3.5.1.108,K02535 K16363
RP15894,0.484,2.3.1.203,K15913
RP15477,0.484,2.3.1.202,K15896
RP15896,0.474,2.3.1.201,K13018
RP14236,0.353,3.5.1.113,K17078
RP04196,0.352,2.3.1.191,K02536
RP12083,0.320,2.1.2.13,K10011
RP14252,0.319,2.3.2.19,K13563
RP02132,0.309,3.5.1.41,K01452
RP02013,0.304,3.5.1.11,K01434
