Reaction ID,SelenzymeRF
R03123,1.1.1.219;1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R09929,1.1.1.-|1.1.1.324;1.1.1.71;1.1.1.183|1.1.1.195|1.1.1.324;1.1.1.1|1.1.1.347
R07336,2.4.99.20;5.4.2.2;3.6.1.15|3.6.1.5
R01252,1.13|1.13.12.19;1.13.12.24;1.14.11|1.14.11.2|1.14.11.57;1.14.11.56;1.2.2.4;1.14.11.1;1.14.11.13;1.13.12.6;1.13.11.27;1.14.11.-|1.14.11.55;1.14.20.7;1.14.11.28;1.14.11.41;1.13.11.46;1.14.11.4;1.14.11.75;1.13.11.83;1.14.11.76;1.14.11.21;1.14.11.8;1.14.11.40;1.14.11.45;1.14.11.39;1.14.11.27
R12785,1.2.1.12|1.2.1.59|1.2.1.9
R01281,2.3.1.301;2.3.1.50;2.3.1.41;2.3.1.207;2.3.3.20;2.3.1.291;2.3.1.199;2.3.1.299;2.3.1.47
R10356,1.14.13.26;1.14.13.25;1.14.12.10;1.14.12.19;1.2.1.4|1.2.1.5;1.14.12.-|1.14.12.26;1.2.1.3|1.2.1.5
R01943,6.2.1.12;6.2.1.12|6.2.1.34;2.3.1|2.3.1.133|3.1.2.-;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;6.2.1.2;2.3.1.140;2.3.1.215;2.3.1.153;2.3.1.302;2.3.1.196;2.3.1.138;6.2.1.7;6.2.1.33;6.2.1.30
R02295,2.4.2|2.4.2.1
R10451,2.1.1.277;2.1.1.274;2.1.1.6|2.1.1.68;2.1.1.50;2.1.1|2.1.1.163
R12658,1.14.11.59|1.14.20.2;1.14.16.1|1.14.16.4;1.14.16.4;1.13.11.27;1.14.16.7;1.14.14.1
