EC,Weighted Score,Observed Freq,Reactions
1.14.13,403.3,8,R06525 R06526 R07207 R07430 R07445
1.14.14,32.2,1,R08327
1.14.11,20.7,3,R03451 R05466 R07185
1.14.15,17.4,1,R02723
1.14.16,8.8,,
1.14.-,8.1,,
1.14.18,7.8,,
1.14.99,7.8,,
1.17.1,3.9,,
1.10.99,2.8,,
1.13.11,2.5,,
1.1.1,2.4,,
1.10.3,2.0,,
1.97.1,2.0,,
1.17.99,1.8,1,R07374
1.3.99,1.0,,
1.2.1,1.0,,
1.3.7,1.0,,
1.14.20,1.0,,
4.1.99,0.9,,
3.5.3,0.8,,
1.17.7,0.8,,
1.-.-,0.7,,
3.7.1,0.5,,
1.6.6,0.5,,
2.5.1,0.3,,
1.14.12,0.3,,
1.17.3,0.3,,
1.7.3,0.3,,
1.14.17,0.3,,
