Reaction name,SIMMER pred
R00890,2.4.1
R04594,3.1.3
R13081,3.2.1
R11330,5.1.3
R09590,6.3.1;6.3.2
R09111,4.2.3
R12496,2.3.1
R01853,1.4.3;1.1.3
R12384,2.4.1
R13128,2.4.1;3.2.1
R09980,3.5.1;3.5.2
R08259,2.4.1
R06206,
R11165,2.1.1
R12077,2.4.1
R01351,3.1.1
R07072,3.3.2;3.8.1
R04296,2.4.1
R10975,
R11199,2.3.1
R03942,1.1.1
R01316,
R02734,3.5.1;3.4.19
R02850,2.7.1
R06787,1.14.12;1.1.1
R04623,1.5.1;1.1.1
R05415,1.13.11
R10461,2.6.99;2.5.1
R04741,1.1.1
R04466,2.3.1
R00674,1.10.3
R02112,3.2.1
R03466,1.13.11
R04515,
R07493,1.3.1;1.14.13;1.1.1
R12755,2.7.1
R01205,2.4.1
R01161,2.6.1
R03296,5.1.3
R11848,4.2.3
R08385,1.2.1;1.1.1
R11932,4.1.1
R12845,2.3.1
R12244,1.21.98
R09150,3.5.1
R12526,2.4.1
R10144,1.14.11;1.14.20
R05030,6.3.5
R00084,4.1.1
R02657,1.2.3
R13350,4.1.1
R07631,4.2.3
R10508,5.5.1
R07269,2.5.1
R03062,3.1.1
R09420,1.3.1;1.1.1
R06458,2.3.1
R13215,1.3.1;1.1.1
R00872,3.1.3
R07415,1.4.3;1.5.3
R11363,1.13.11
R05217,1.3.1
R02693,5.4.99
R07814,3.1.1
R06486,2.4.1
R05374,
R11921,3.5.1
R13364,3.1.3
R10997,
R09954,1.1.1
R11206,1.3.3
R01304,2.4.1
R02144,2.1.1
R09282,4.2.1
R09228,1.3.1;1.1.1
R08527,1.13.11
R03590,1.14.20
R00507,3.6.1
R06477,2.1.1
R09135,5.5.1
R09684,4.2.3
R00908,2.6.1
R08204,1.1.1
R06846,1.3.1;1.1.1
R05221,2.7.1
R07394,3.1.3
R04112,3.5.1
R00931,2.3.3;2.3.1
R07513,3.1.1
R03554,2.1.1
R02837,2.3.1
R09242,1.14.13;1.1.1
R00331,2.7.4
R01242,
R04498,
R03176,1.1.1
R10147,
R08342,3.5.4
R12193,2.3.1
R10527,1.14.11
R04598,1.2.1;1.3.1;1.1.1
R03642,3.2.1
R02782,4.2.1;5.3.1
R12339,2.4.1
R01717,5.3.2
R09775,6.3.2
R05224,6.3.5
R01283,2.6.1
R04214,3.5.2;3.5.1
R07796,2.8.3
R11395,2.6.1
