EC,Weighted Score,Observed Freq,Reactions
1.14.13,300.4,91,R00815 R01295 R01296 R01298 R01628 ... (85 reactions)
4.1.1,45.1,31,R00014 R00755 R00821 R00822 R00965 ... (31 reactions)
1.14.14,33.7,17,R02354 R02355 R02698 R03088 R03090 ... (17 reactions)
2.5.1,27.4,22,R01657 R02943 R03799 R05000 R05267 ... (21 reactions)
1.14.11,23.4,,
2.1.1,22.2,20,R00594 R00595 R01670 R02101 R02667 ... (18 reactions)
1.14.99,19.5,4,R01508 R03206 R05742 R10193
1.14.15,15.1,1,R03569
1.14.-,10.8,2,R04257 R05463
1.17.4,10.5,,
2.3.1,10.3,,
1.97.1,10.1,10,R03734 R04297 R05505 R06876 R06877 ... (9 reactions)
1.2.4,10.0,10,R00014 R00621 R03270 R03316 R07599 ... (10 reactions)
1.14.16,9.0,9,R01795 R01814 R01815 R01816 R02339 ... (9 reactions)
1.14.18,9.0,8,R00031 R00731 R02078 R02383 R02950
2.2.1,8.0,8,R00014 R03050 R04672 R04673 R06861
3.7.1,7.9,3,R02901 R07515
1.17.1,7.9,1,R01720
4.1.3,7.5,,
4.1.2,7.5,1,R02340
3.5.99,6.6,,
4.2.1,6.2,4,R00674 R01055 R02340
1.14.21,6.0,6,R04694 R05210 R05215 R08790 R08913
1.14.12,5.8,,
3.8.1,4.1,,
3.5.4,4.1,,
1.11.1,4.0,4,R03539 R03973 R08520 R08521
1.1.1,3.8,,
4.1.99,3.5,2,R00673 R00728
1.5.99,3.0,3,R02860 R07514 R07946
1.22.1,3.0,3,R09521 R09522 R10059
6.4.1,2.9,,
3.1.1,2.7,,
1.17.99,2.7,,
1.7.2,2.5,,
1.13.11,2.2,,
1.10.3,2.0,2,R00031 R02078
1.3.99,2.0,2,R02987 R03687
2.8.1,1.9,,
1.17.2,1.9,1,R09473
1.1.4,1.8,,
1.10.99,1.8,,
2.1.3,1.6,,
2.1.2,1.4,1,R01669
1.17.3,1.2,1,R07221
3.11.1,1.1,,
1.7.3,1.1,,
1.7.1,1.0,1,R01134
2.4.1,1.0,1,R09345
1.3.1,1.0,1,R05276
1.4.-,1.0,1,R05585
1.3.7,1.0,1,R05316
3.13.1,1.0,1,R07311
1.14.20,1.0,1,R08972
3.2.-,1.0,1,R01055
6.3.4,0.9,,
4.4.1,0.4,,
1.3.8,0.4,,
1.-.-,0.4,,
1.17.7,0.4,,
4.99.1,0.2,,
2.8.4,0.2,,
4.7.1,0.2,,
1.14.17,0.2,,
3.5.3,0.2,,
1.13.12,0.2,,
1.5.1,0.2,,
